     abs(τq_K_D),        abs(ωq_K_D)
 9.9442058838560, 0.7169221847095130
 9.5705382048535, 0.7278777039726120
 9.1928690829313, 0.7384406704016030
 8.8115901142935, 0.7485945976611000
 8.4270914466276, 0.7583229984264380
 8.0396980811149, 0.7676093875937580
 7.6496446809524, 0.7764372780200910
 7.2571356759984, 0.7847901835113710
 6.8623745124873, 0.7926516160363160
 6.4655647925380, 0.8000050913793900
 6.0669102075734, 0.8068341217515730
 5.6666146166393, 0.8131222208174910
 5.2648820032306, 0.8188529018783140
 4.8619164464001, 0.8240096826162980
 4.4579221655241, 0.8285783987449710
 4.0531035517015, 0.8325540867345850
 3.6476650217942, 0.8359404763188160
 3.2418112171987, 0.8387425668630610
 2.8357468339333, 0.8409653564405980
 2.4296767192564, 0.8426138444168060
 2.0238058355839, 0.8436930268056830
